"title","lat","lon","school"
"Chino Valley Unified District, AZ",34.7464,-112.453771,0
"Clarkdale-Jerome Elementary District, AZ",34.767043,-112.067391,0
"Salome Consolidated Elementary District, AZ",33.781927,-113.619871,0
"Colorado City Unified District, AZ",36.996409,-113.002914,0
"Vernon Elementary District, AZ",34.253504,-109.692177,0
"Pinon Unified District, AZ",36.112139,-110.216233,0
"Heber-Overgaard Unified District, AZ",34.426548,-110.59637,0
"Benson Unified School District, AZ",31.965411,-110.300353,0
"Kingman Unified School District, AZ",35.213217,-114.016351,0
"Aguila Elementary District, AZ",33.938754,-113.172756,0
"Ajo Unified District, AZ",32.373754,-112.859541,0
"Alhambra Elementary District, AZ",33.502478,-112.138571,0
"Alpine Elementary District, AZ",33.827147,-109.143498,0
"Amphitheater Unified District, AZ",32.2865,-110.9825,0
"Apache Elementary District, AZ",31.689643,-109.130503,0
"Apache Junction Unified District, AZ",33.3933,-111.5605,0
"Arlington Elementary District, AZ",33.36117,-112.818041,0
"Ash Creek Elementary District, AZ",31.87679,-109.636521,0
"Ash Fork Joint Unified District, AZ",35.2219,-112.4866,0
"Avondale Elementary District, AZ",33.435314,-112.352647,0
"Bagdad Unified School District, AZ",34.572719,-113.1831,0
"Balsz Elementary District, AZ",33.4583,-111.9774,0
"Beaver Creek Elementary District, AZ",34.653169,-111.765216,0
"Bisbee Unified District, AZ",31.428929,-109.891303,0
"Blue Elementary District, AZ",33.6484,-109.0922,0
"Bonita Elementary District, AZ",32.58612,-109.974741,0
"Bouse Elementary District, AZ",33.91291,-113.993365,0
"Bowie Unified District, AZ",32.325282,-109.489832,0
"Buckeye Elementary District, AZ",33.428071,-112.600491,0
"Sierra Vista Unified District, AZ",31.554658,-110.261683,0
"Bullhead City School District, AZ",35.107954,-114.612731,0
"Camp Verde Unified District, AZ",34.5872,-111.8592,0
"Canon Elementary District, AZ",34.0631,-112.1428,0
"Cartwright Elementary District, AZ",33.49501,-112.17145,0
"Casa Grande Elementary District, AZ",32.90932,-111.753951,0
"Catalina Foothills Unified District, AZ",32.2869,-110.9403,0
"Cedar Unified District, AZ",35.81,-110.1907,0
"Chandler Unified District, AZ",33.2987,-111.867,0
"Chevelon Butte School District, AZ",34.326642,-110.845204,0
"Chinle Unified District, AZ",36.301669,-109.209518,0
"Cochise Elementary District, AZ",32.112513,-109.920155,0
"Concho Elementary District, AZ",34.422596,-109.640578,0
"Congress Elementary District, AZ",34.17193,-112.859485,0
"Continental Elementary District, AZ",31.841962,-110.957223,0
"Coolidge Unified District, AZ",32.98462,-111.5328,0
"Cottonwood-Oak Creek Elementary District, AZ",34.7407,-112.026781,0
"Crane Elementary District, AZ",32.69938,-114.669701,0
"Creighton Elementary District, AZ",33.4856,-112.022,0
"Crown King Elementary District, AZ",34.2077,-112.3391,0
"Double Adobe Elementary District, AZ",31.46112,-109.6982,0
"Douglas Unified District, AZ",31.346558,-109.544985,0
"Duncan Unified District, AZ",32.724305,-109.109789,0
"Dysart Unified District, AZ",33.627774,-112.382746,0
"Elfrida Elementary District, AZ",31.685778,-109.680276,0
"Eloy Elementary District, AZ",32.76011,-111.550011,0
"Empire Elementary District, AZ",31.775,-110.7138,0
"Flagstaff Unified District, AZ",35.196141,-111.603409,0
"Florence Unified School District, AZ",33.02248,-111.390011,0
"Flowing Wells Unified District, AZ",32.27319,-110.998681,0
"Fountain Hills Unified District, AZ",33.61555,-111.736191,0
"Fowler Elementary District, AZ",33.433,-112.2038,0
"Fredonia-Moccasin Unified District, AZ",36.9519,-112.5211,0
"Fort Huachuca Accommodation District, AZ",31.547202,-110.369652,0
"Fort Thomas Unified District, AZ",33.034299,-109.964523,0
"Gadsden Elementary District, AZ",32.5048,-114.7867,0
"Ganado Unified District, AZ",35.711061,-109.534355,0
"Gila Bend Unified District, AZ",32.9524,-112.718132,0
"Gilbert Unified District, AZ",33.34736,-111.790761,0
"Glendale Elementary District, AZ",33.54418,-112.183341,0
"Globe Unified District, AZ",33.393229,-110.780874,0
"Grand Canyon Unified District, AZ",36.051237,-112.135997,0
"Hackberry School District, AZ",35.1737,-113.779,0
"Hayden-Winkelman Unified District, AZ",32.993562,-110.77189,0
"Higley Unified District, AZ",33.295703,-111.703693,0
"Holbrook Unified District, AZ",34.909066,-110.168341,0
"Humboldt Unified District, AZ",34.633818,-112.314852,0
"Hyder Elementary District, AZ",32.800421,-113.540927,0
"Indian Oasis-Baboquivari Unified District, AZ",31.9178,-111.8618,0
"Isaac Elementary District, AZ",33.46716,-112.131521,0
"J. O. Combs Unified School District, AZ",33.2199,-111.5621,0
"Joseph City Unified District, AZ",34.9593,-110.3313,0
"Kayenta Unified District, AZ",36.84934,-110.270825,0
"Kirkland Elementary District, AZ",34.419385,-112.916204,0
"Klondyke Elementary District, AZ",32.834835,-109.718136,0
"Kyrene Elementary District, AZ",33.3356,-111.9457,0
"Lake Havasu Unified District, AZ",34.497261,-114.331497,0
"Laveen Elementary District, AZ",33.357523,-112.163869,0
"Liberty Elementary District, AZ",33.38103,-112.486098,0
"Litchfield Elementary District, AZ",33.491313,-112.355728,0
"Littlefield Unified District, AZ",36.90896,-113.927651,0
"Littleton Elementary District, AZ",33.431339,-112.28969,0
"Madison Elementary District, AZ",33.5177,-112.0475,0
"Maine Consolidated School District, AZ",35.2601,-111.9489,0
"Mammoth-San Manuel Unified District, AZ",32.598277,-110.629771,0
"Marana Unified District, AZ",32.455244,-111.207758,0
"Maricopa Unified School District, AZ",33.054116,-112.04289,0
"Altar Valley Elementary District, AZ",32.0667,-111.3173,0
"Mayer Unified District, AZ",34.4001,-112.241221,0
"McNary Elementary District, AZ",34.075008,-109.856509,0
"McNeal Elementary District, AZ",31.599288,-109.673001,0
"Mesa Unified District, AZ",33.415,-111.8293,0
"Miami Unified District, AZ",33.4081,-110.8365,0
"Mobile Elementary District, AZ",33.056574,-112.270978,0
"Mohave Valley Elementary District, AZ",34.911602,-114.600012,0
"Mohawk Valley Elementary District, AZ",32.751382,-113.969562,0
"Morenci Unified District, AZ",33.040195,-109.32031,0
"Morristown Elementary District, AZ",33.8548,-112.6215,0
"Murphy Elementary District, AZ",33.436784,-112.116092,0
"Naco Elementary District, AZ",31.33668,-109.9471,0
"Nadaburg Unified School District, AZ",33.7816,-112.5256,0
"Nogales Unified District, AZ",31.3402,-110.942,0
"Oracle Elementary District, AZ",32.6079,-110.7607,0
"Osborn Elementary District, AZ",33.48775,-112.089265,0
"Owens-Whitney Elementary District, AZ",34.70396,-113.610355,0
"Tonto Basin Elementary District, AZ",33.935969,-111.313195,0
"Page Unified District, AZ",36.913,-111.4587,0
"Palo Verde Elementary District, AZ",33.3498,-112.6783,0
"Palominas Elementary District, AZ",31.379977,-110.123966,0
"Paradise Valley Unified District, AZ",33.623607,-112.014406,0
"Parker Unified School District, AZ",34.1425,-114.289,0
"Patagonia Elementary District, AZ",31.540319,-110.75066,0
"Payson Unified District, AZ",34.237298,-111.33086,0
"Peach Springs Unified District, AZ",35.534394,-113.42552,0
"Pearce Elementary District, AZ",31.901534,-109.823731,0
"Pendergast Elementary District, AZ",33.490548,-112.255485,0
"Peoria Unified School District, AZ",33.6107,-112.1951,0
"Phoenix Elementary District, AZ",33.4688,-112.0651,0
"Picacho Elementary District, AZ",32.717425,-111.497553,0
"Pima Unified District, AZ",32.893138,-109.823311,0
"Pine Strawberry Elementary District, AZ",34.3867,-111.457,0
"Blue Ridge Unified District, AZ",34.150213,-109.965769,0
"Pomerene Elementary District, AZ",31.998745,-110.286114,0
"Prescott Unified District, AZ",34.5404,-112.4716,0
"Sanders Unified District, AZ",35.202103,-109.308839,0
"Quartzsite Elementary District, AZ",33.613766,-114.509276,0
"Queen Creek Unified District, AZ",33.2576,-111.6346,0
"Ray Unified District, AZ",33.105607,-110.945166,0
"Red Mesa Unified District, AZ",36.962781,-109.381753,0
"Red Rock Elementary District, AZ",32.5687,-111.3443,0
"Redington Elementary District, AZ",32.222,-110.9689,0
"San Carlos Unified District, AZ",33.355968,-110.452893,0
"Riverside Elementary District, AZ",33.434192,-112.169713,0
"Roosevelt Elementary District, AZ",33.392154,-112.064712,0
"Round Valley Unified District, AZ",34.125487,-109.27213,0
"Saddle Mountain Unified School District, AZ",33.492511,-112.870435,0
"Sacaton Elementary District, AZ",33.081692,-111.761762,0
"Safford Unified District, AZ",32.82871,-109.714651,0
"Sahuarita Unified District, AZ",31.960125,-110.981841,0
"San Fernando Elementary District, AZ",31.490175,-111.540884,0
"San Simon Unified District, AZ",32.26649,-109.22319,0
"Santa Cruz Elementary District, AZ",31.387854,-110.871934,0
"Santa Cruz Valley Unified District, AZ",31.50588,-111.014673,0
"Scottsdale Unified District, AZ",33.49282,-111.918581,0
"Seligman Unified District, AZ",35.3308,-112.8753,0
