"id","area","size","alg8"
"0402430","Career Success Schools",643,0.003
"0405930","Milestones Charter School",2610,0.239
"0400790","Excalibur Charter Schools  Inc.",432,0.069
"0408820","P.L.C. Charter Schools",336,0
"0402690","Paragon Management  Inc.",2441,0.01
"0407700","Edkey  Inc. - Sequoia Village School",245,0.191
"0404280","Telesis Center for Learning  Inc.",447,0.799
"0403010","Carden of Tucson  Inc.",399,0.271
"0408170","Southgate Academy  Inc.",1487,0.285
"0406000","Patagonia Montessori Elementary School",4,0
"0401500","Mohave Accelerated Learning Center",383,0.129
"0409600","Harvest Power Community Development Group  Inc.",1105,0
"0403240","Harvest Power Community Development Group  Inc.",782,0.26
"0400960","Harvest Power Community Development Group  Inc.",828,0.145
"0400600","Pan-American Elementary Charter",1558,0.258
"0403400","West Gilbert Charter Middle School  Inc.",3262,0.231
"0402400","Carpe Diem Collegiate High School",760,0.246
"0403420","Camelback Education  Inc",1476,0.173
"0401870","LEAD Charter Schools",3491,0.381
"0407570","Montessori Academy  Inc.",2264,0.194
"0400419","Gila County Regional School District",1,0
"0404290","Country Gardens Charter Schools",909,0.334
"0400462","Ray of Light Academy",1,0
"0400480","Aguila Elementary District #63",14,0.852
"0400520","Ajo Unified District",31,0.059
"0400630","Alpine Elementary District",6,0
"0409310","Heritage Elementary School",50,0
"0404380","Heritage Elementary School",1249,0
"0404720","Legacy Traditional Charter School - Maricopa",641,0.226
"0402320","Eduprize Schools  LLC",436,0.143
"0404320","The Odyssey Preparatory Academy  Inc.",618,0.295
"0407200","Skyline Gila River Schools  LLC",79,0.178
"0400840","Arlington Elementary District",31,0
"0404630","Legacy Traditional School - Northwest Tucson",1058,0.192
"0404440","Legacy Traditional School - Avondale",726,0.05
"0400870","Ash Creek Elementary District #53",5,0
"0401710","Legacy Traditional Charter Schools - Casa Grande",888,0.276
"0400910","Ash Fork Joint Unified District",21,0
"0403990","Legacy Traditional Charter School",401,0.302
"0401000","Bagdad Unified District",29,0
"0401080","Beaver Creek Elementary District",31,0
"0401180","Bisbee Unified District",52,0.115
"0401230","Blue Elementary District",2,0
"0401260","Bonita Elementary District",8,0.457
"0401290","Bouse Elementary District",5,0
"0401330","Bowie Unified District",4,0
"0401380","Buckeye Elementary District",558,0
"0401650","Canon Elementary District",15,0
"0401760","Catalina Foothills Unified District",418,0.268
"0401810","Cedar Unified District",13,0
"0401940","Chinle Unified District",295,0
"0402130","Cochise Elementary District",6,0.675
"0402190","Concho Elementary District",25,0
"0402220","Congress Elementary District",12,0.33
"0402250","Continental Elementary District",54,0.262
"0402600","Duncan Unified District",24,0.51
"0402760","Elfrida Elementary District",13,0
"0402790","Eloy Elementary District",98,0.522
"0402920","Florence Unified School District",689,0.252
"0403060","Fowler Elementary District",317,0.176
"0403150","Fort Huachuca Accommodation District",94,0.191
"0403200","Fort Thomas Unified District",49,0
"0403290","Ganado Unified School District",139,0.197
"0403310","Gila Bend Unified District",24,0
"0403550","Grand Canyon Unified District #4",21,0
"0403860","Maricopa County Regional District",23,0
"0403900","Hyder Elementary District",15,0
"0403950","Baboquivari Unified School District #40",72,0
"0403960","Isaac Elementary District",726,0.134
"0404010","Joseph City Unified District",28,0
"0404060","Kayenta Unified District #27",118,0
"0404170","Kirkland Elementary District",5,0
"0404410","Littlefield Unified District",36,0
"0404530","Maine Consolidated School District",15,0
"0404570","Mammoth-San Manuel Unified District",47,0.081
"0404770","Altar Valley Elementary District",77,0
"0404820","Mayer Unified School District",33,0
"0404860","McNary Elementary School District",10,0
"0404920","McNeal Elementary District",11,0
"0405030","Miami Unified District",94,0.151
"0405220","Mohawk Valley Elementary District",24,0
"0405320","Morenci Unified District",107,0.221
"0405340","Morristown Elementary District",11,0.165
"0405360","Pima Accommodation District",1,0
"0405400","Murphy Elementary School District #21",210,0
"0405430","Naco Elementary District",32,0
"0405460","Nadaburg Unified School District",103,0
"0405640","Oracle Elementary District",53,0.351
"0405730","Owens School District No.6",1,0
"0405760","Tonto Basin Elementary District",2,0
"0405820","Page Unified District",183,0.31
"0405850","Palo Verde Elementary District",50,0
"0405880","Palominas Elementary District",120,0.454
"0405980","Parker Unified School District",136,0
"0406120","Peach Springs Unified District",15,0
"0406150","Pearce Elementary District",3,0
"0406210","Pendergast Elementary District",1192,0
"0406360","Picacho Elementary District",13,0
"0406440","Pima Unified District",63,0.38
"0406510","Pine Strawberry Elementary District",22,0
"0406580","Blue Ridge Unified School District No. 32",160,0
"0406630","Pomerene Elementary District",10,0
"0406740","Sanders Unified District",72,0
"0406780","Quartzsite Elementary School District #4",33,0
"0406850","Ray Unified School District",41,0
"0406870","Red Mesa Unified District",50,0.846
"0406900","Red Rock Elementary District",27,0
"0406960","San Carlos Unified District",112,0
"0407020","Riverside Elementary District",84,0.215
"0407130","Round Valley Unified District",85,0.141
"0407170","Saddle Mountain Unified School District",116,0.052
"0407430","San Simon Unified District",10,0
"0407500","Santa Cruz Elementary District",26,1
"0407520","Santa Cruz Valley Unified District",281,0
"0407630","Seligman Unified District",11,0
"0407680","Sentinel Elementary District",6,0
"0407820","Snowflake Unified District",188,0
