lat,lon,title,school
29.78232,-95.51442900000001,"Spring Branch Independent School District, TX",0
47.65937,-117.415601,"Spokane Public Schools, WA",0
33.49282,-111.918581,"Scottsdale Unified District, AZ",0
33.73757,-84.76905100000001,"Douglas County School District, GA",0
38.5452,-76.9483,"Charles County Public Schools, MD",0
33.57787,-101.8545,"Lubbock Independent School District, TX",0
37.07319,-76.494001,"Newport News City Public Schools, VA",0
32.3739,-86.3023,"Montgomery County School District, AL",0
34.821669,-89.98929,"DeSoto County School District, MS",0
43.57142,-116.283991,"Boise City Independent School District, ID",0
32.9974,-80.21599999999999,"Dorchester School District, SC",0
33.53247,-82.159161,"Columbia County School District, GA",0
35.7903,-80.90000000000001,"Iredell-Statesville Schools, NC",0
26.217535,-98.253613,"McAllen Independent School District, TX",0
30.44643,-97.63653100000001,"Pflugerville Independent School District, TX",0
40.7142,-74.0878,"Jersey City School District, NJ",0
38.9973,-94.6854,"Shawnee Mission Public Schools Unified School District, KS",0
33.87039,-117.838051,"Placentia-Yorba Linda Unified School District, CA",0
33.9347,-118.1324,"Downey Unified School District, CA",0
44.72717,-93.135761,"Rosemount-Apple Valley-Eagan, MN",0
30.2119,-91.99339999999999,"Lafayette Parish School District, LA",0
39.77723,-86.154591,"Indianapolis Public Schools, IN",0
33.8229,-117.8977,"Anaheim Elementary School District, CA",0
45.6409,-122.5333,"Evergreen School District (Clark), WA",0
30.911431,-87.787485,"Baldwin County School District, AL",0
32.2915,-90.1832,"Jackson Public School District, MS",0
42.26207,-89.081541,"Rockford School District, IL",0
35.3174,-119.0744,"Panama-Buena Vista School District, CA",0
33.9775,-81.2106,"Lexington School District, SC",0
42.2833,-83.2268,"Dearborn City School District, MI",0
42.1034,-72.59229999999999,"Springfield School District, MA",0
40.935772,-73.901664,"Yonkers City School District, NY",0
36.1011,-79.4088,"Alamance-Burlington Schools, NC",0
29.652601,-82.318978,"Alachua County School District, FL",0
30.172515,-85.67593599999999,"Bay County School District, FL",0
40.76674,-111.878841,"Salt Lake City School District, UT",0
30.503317,-90.74806100000001,"Livingston Parish School District, LA",0
32.3056,-106.7774,"Las Cruces Public Schools, NM",0
38.180684,-77.51768,"Spotsylvania County Public Schools, VA",0
32.794987,-116.953563,"Cajon Valley Union Elementary School District, CA",0
32.957744,-96.89557000000001,"Carrollton-Farmers Branch Independent School District, TX",0
33.7431,-117.8249,"Tustin Unified School District, CA",0
