id,name,G08,HI08,BL08,WH08,HI08_alg_p,HI08_access_p,BL08_alg_p,BL08_access_p,WH08_alg_p,WH08_access_p
3405580,"Freehold Borough School District, NJ",149,101,15,31,.12871288,1,.26666668,1,.22580644,1
3405640,"Freehold Township School District, NJ",472,51,16,360,.33333334,1,.125,1,.5138889,1
3405700,"Frenchtown Borough School District, NJ",16,0,0,15,,,,,.46666667,1
3405790,"Garwood Borough School District, NJ",31,4,0,26,0,1,,,.61538464,1
3405850,"Gibbsboro Borough School District, NJ",20,0,0,20,,,,,1,1
3405880,"Glassboro Borough School District, NJ",120,17,43,59,.11764706,1,.1627907,1,.16949153,1
3405940,"Glen Ridge Borough School District, NJ",139,7,2,117,.5714286,1,1,1,.59829062,1
3405970,"Glen Rock Borough School District, NJ",165,3,3,139,1,1,1,1,1,1
3406000,"Gloucester City School District, NJ",104,11,13,73,0,0,0,0,0,0
3406090,"Green Township School District, NJ",69,1,1,65,0,0,0,0,0,0
3406180,"Greenwich Township School District, NJ",54,5,5,42,0,1,.40000001,1,.23809524,1
3406210,"Greenwich Township School District, NJ",113,5,6,96,.80000001,1,.66666669,1,.82291669,1
3406240,"Guttenberg Town School District, NJ",93,83,5,3,.19277108,1,0,1,.66666669,1
3406270,"Hackensack City School District, NJ",354,236,73,17,.080508478,1,.02739726,1,.11764706,1
3406300,"Hackettstown Town School District, NJ",93,21,5,61,.095238097,1,0,1,.26229507,1
3406360,"Haddon Township School District, NJ",120,9,2,107,0,1,0,1,.45794392,1
3406390,"Haddonfield Borough School District, NJ",218,2,4,206,1,1,.5,1,.52912623,1
3406420,"Hainesport Township School District, NJ",69,4,6,55,.5,1,0,1,.23636363,1
3406450,"Haledon Borough School District, NJ",114,78,13,13,0,0,0,0,0,0
3406480,"Hamburg Borough School District, NJ",20,3,0,17,0,0,,,0,0
3406510,"Hamilton Township School District, NJ",322,58,83,164,0,0,0,0,0,0
3406540,"Hamilton Township School District, NJ",842,173,156,467,.12138728,1,.070512824,1,.23768736,1
3406630,"Hampton Township School District, NJ",180,9,1,168,.22222222,1,1,1,.25595239,1
